league,date,time,home_team,away_team,referee
E0,2026-08-28,20:00,Crystal Palace,Manchester City,A Madley
E0,2026-08-29,12:30,Liverpool,Nottingham Forest,S Barrott
E0,2026-08-29,15:00,Bournemouth,Everton,C Kavanagh
E0,2026-08-29,17:30,Tottenham Hotspur,Newcastle United,P Bankes
E0,2026-08-30,14:00,Chelsea,Brighton,M Oliver
E0,2026-08-30,14:00,Leeds,Brentford,T Harrington
E0,2026-08-30,14:00,Sunderland,Fulham,M Salisbury
E0,2026-08-30,16:30,Manchester United,Ipswich,C Pawson
E0,2026-08-31,20:00,Aston Villa,Arsenal,J Gillett
