team,season,player,position,league_starts,league_subs,league_apps,league_goals
Brighton,2425,Jakub Moder,MF,0,4,4,0
Brighton,2425,Cameron Peupion,MF,0,0,0,0
Brighton,2425,Jensen Weir,MF,0,0,0,0
Brighton,2425,Ruairi McConville,DF,0,0,0,0
Brighton,2425,Imari Samuels,DF,0,0,0,0
Brighton,2526,Bart Verbruggen,GK,38,0,38,0
Brighton,2526,Igor,DF,0,0,0,0
Brighton,2526,Lewis Dunk,DF,31,2,33,1
Brighton,2526,Jan Paul van Hecke,DF,36,0,36,3
Brighton,2526,Solly March,MF,0,4,4,0
Brighton,2526,Stefanos Tzimas,FW,1,8,9,1
Brighton,2526,Georginio Rutter,FW,20,12,32,3
Brighton,2526,Yankuba Minteh,MF,26,8,34,3
Brighton,2526,Jack Hinshelwood,MF,20,7,27,4
Brighton,2526,Carlos Baleba,MF,23,8,31,0
Brighton,2526,Danny Welbeck,FW,26,11,37,13
Brighton,2526,Charalampos Kostoulas,FW,2,19,21,2
Brighton,2526,James Milner,MF,7,13,20,1
Brighton,2526,Olivier Boscagli,DF,9,3,12,0
Brighton,2526,Kaoru Mitoma,MF,18,6,24,3
Brighton,2526,Jason Steele,GK,0,0,0,0
Brighton,2526,Ferdi Kadıoğlu,DF,34,3,37,1
Brighton,2526,Diego Gómez,MF,26,6,32,5
Brighton,2526,Yasin Ayari,MF,20,9,29,3
Brighton,2526,Mats Wieffer,MF,23,3,26,2
Brighton,2526,Maxim De Cuyper,DF,17,13,30,2
Brighton,2526,Pascal Groß,MF,18,1,19,1
Brighton,2526,Matt O'Riley,MF,2,4,6,1
Brighton,2526,Joël Veltman,DF,9,15,24,1
Brighton,2526,Charlie Tasker,DF,0,0,0,0
Brighton,2526,Harry Howell,MF,1,2,3,0
Brighton,2526,Nehemiah Oriola,MF,0,1,1,0
Brighton,2526,Brajan Gruda,MF,8,11,19,1
Brighton,2526,Tom Watson,MF,0,6,6,0
Brighton,2526,Diego Coppola,DF,2,3,5,0
Brighton,2526,Joe Knight,MF,0,1,1,0
Burnley,2324,James Trafford,GK,28,0,28,0
Burnley,2324,Dara O'Shea,DF,32,1,33,3
Burnley,2324,Charlie Taylor,DF,25,3,28,1
Burnley,2324,Jack Cork,MF,0,4,4,0
Burnley,2324,Jordan Beyer,DF,15,0,15,0
Burnley,2324,Jóhann Berg Guðmundsson,MF,12,14,26,1
Burnley,2324,Josh Brownhill,MF,23,10,33,4
Burnley,2324,Jay Rodriguez,FW,7,14,21,2
Burnley,2324,Manuel Benson,MF,1,7,8,0
Burnley,2324,Nathan Redmond,MF,0,12,12,0
Burnley,2324,Sander Berge,MF,34,3,37,1
Burnley,2324,Lyle Foster,FW,22,2,24,5
Burnley,2324,Hjalmar Ekdal,DF,5,3,8,0
Burnley,2324,Lorenz Assignon,DF,15,0,15,1
Burnley,2324,Aaron Ramsey,MF,5,9,14,0
Burnley,2324,Vitinho,DF,26,6,32,0
Burnley,2324,David Datro Fofana,FW,10,5,15,4
Burnley,2324,Josh Cullen,MF,23,2,25,2
Burnley,2324,Zeki Amdouni,FW,27,7,34,5
Burnley,2324,Ameen Al-Dakhil,DF,12,1,13,1
Burnley,2324,Luca Koleosho,FW,13,2,15,1
Burnley,2324,Mike Trésor,FW,3,13,16,0
Burnley,2324,Maxime Estève,DF,15,1,16,0
Burnley,2324,Jacob Bruun Larsen,FW,16,15,31,6
Burnley,2324,Han-Noah Massengo,MF,0,3,3,0
Burnley,2324,Hannes Delcroix,DF,5,7,12,0
Burnley,2324,Wilson Odobert,FW,25,5,30,3
Burnley,2324,Arijanet Muric,GK,10,0,10,0
Burnley,2324,Connor Roberts,DF,8,6,14,0
Burnley,2324,Anass Zaroury,FW,1,5,6,0
Burnley,2324,Michael Obafemi,FW,0,2,2,0
Burnley,2526,Martin Dúbravka,GK,35,0,35,0
Burnley,2526,Kyle Walker,DF,35,1,36,0
Burnley,2526,Quilindschy Hartman,DF,21,0,21,0
Burnley,2526,Joe Worrall,DF,5,6,11,0
Burnley,2526,Maxime Estève,DF,34,0,34,0
Burnley,2526,Axel Tuanzebe,DF,14,0,14,1
Burnley,2526,Jacob Bruun Larsen,FW,10,18,28,0
Burnley,2526,Lesley Ugochukwu,MF,27,8,35,3
Burnley,2526,Lyle Foster,FW,15,11,26,3
Burnley,2526,Marcus Edwards,FW,11,12,23,1
Burnley,2526,Jaidon Anthony,FW,32,5,37,8
Burnley,2526,Bashir Humphreys,DF,17,3,20,0
Burnley,2526,Max Weiß,GK,3,0,3,0
Burnley,2526,Florentino Luís,MF,25,6,31,0
Burnley,2526,Loum Tchaouna,FW,14,15,29,2
Burnley,2526,Hjalmar Ekdal,DF,17,2,19,0
Burnley,2526,Zian Flemming,FW,21,8,29,11
Burnley,2526,James Ward-Prowse,MF,7,6,13,0
Burnley,2526,Aaron Ramsey,MF,0,0,0,0
Burnley,2526,Oliver Sonne,DF,1,6,7,1
Burnley,2526,Lucas Pires,DF,15,5,20,0
Burnley,2526,Josh Cullen,MF,18,0,18,2
Burnley,2526,Zeki Amdouni,FW,0,4,4,0
Burnley,2526,Armando Broja,FW,8,16,24,1
Burnley,2526,Hannibal Mejbri,MF,15,12,27,1
Burnley,2526,Josh Laurent,MF,18,15,33,1
Burnley,2526,Mike Trésor,MF,0,6,6,0
Burnley,2526,Jaydon Banel,FW,0,1,1,0
Burnley,2526,Ashley Barnes,FW,0,7,7,0
Burnley,2526,Ellis Clark,MF,0,0,0,0
Chelsea,2223,Kepa Arrizabalaga,GK,29,0,29,0
Chelsea,2223,Benoît Badiashile,DF,11,0,11,0
Chelsea,2223,Enzo Fernández,MF,18,0,18,0
Chelsea,2223,Thiago Silva,DF,27,0,27,0
Chelsea,2223,N'Golo Kanté,MF,7,0,7,0
Chelsea,2223,Mateo Kovačić,MF,27,0,27,0
Chelsea,2223,Pierre-Emerick Aubameyang,FW,15,0,15,0
Chelsea,2223,Christian Pulisic,FW,23,0,23,0
Chelsea,2223,João Félix,FW,16,0,16,0
Chelsea,2223,Ruben Loftus-Cheek,MF,25,0,25,0
Chelsea,2223,Marcus Bettinelli,GK,0,0,0,0
Chelsea,2223,Trevoh Chalobah,DF,25,0,25,0
Chelsea,2223,Mykhailo Mudryk,FW,15,0,15,0
Chelsea,2223,Édouard Mendy,GK,10,0,10,0
Chelsea,2223,Raheem Sterling,FW,28,0,28,0
Chelsea,2223,Armando Broja,FW,12,0,12,0
Chelsea,2223,Mason Mount,MF,24,0,24,0
Chelsea,2223,Denis Zakaria,MF,7,0,7,0
Chelsea,2223,Ben Chilwell,DF,23,0,23,0
Chelsea,2223,Hakim Ziyech,FW,17,0,17,0
Chelsea,2223,Conor Gallagher,MF,35,0,35,0
Chelsea,2223,Reece James,DF,16,0,16,0
Chelsea,2223,Kalidou Koulibaly,DF,23,0,23,0
Chelsea,2223,David Datro Fofana,FW,3,0,3,0
Chelsea,2223,César Azpilicueta,DF,25,0,25,0
Chelsea,2223,Kai Havertz,FW,35,0,35,0
Chelsea,2223,Carney Chukwuemeka,MF,14,0,14,0
Chelsea,2223,Noni Madueke,FW,12,0,12,0
Chelsea,2223,Marc Cucurella,DF,24,0,24,0
Chelsea,2223,Wesley Fofana,DF,15,0,15,0
Chelsea,2223,Bashir Humphreys,DF,0,0,0,0
Chelsea,2223,Omari Hutchinson,MF,1,0,1,0
Chelsea,2223,Lewis Hall,MF,9,0,9,0
Chelsea,2223,Jorginho,MF,18,0,18,0
Chelsea,2324,Robert Sánchez,GK,16,0,16,0
Chelsea,2324,Axel Disasi,DF,31,0,31,0
Chelsea,2324,Marc Cucurella,DF,19,0,19,0
Chelsea,2324,Benoît Badiashile,DF,16,0,16,0
Chelsea,2324,Thiago Silva,DF,29,0,29,0
Chelsea,2324,Raheem Sterling,FW,29,0,29,0
Chelsea,2324,Enzo Fernández,MF,28,0,28,0
Chelsea,2324,Mykhailo Mudryk,FW,30,0,30,0
Chelsea,2324,Noni Madueke,FW,21,0,21,0
Chelsea,2324,Marcus Bettinelli,GK,0,0,0,0
Chelsea,2324,Trevoh Chalobah,DF,11,0,11,0
Chelsea,2324,Nicolas Jackson,FW,33,0,33,0
Chelsea,2324,Lesley Ugochukwu,MF,10,0,10,0
Chelsea,2324,Carney Chukwuemeka,MF,9,0,9,0
Chelsea,2324,Christopher Nkunku,FW,9,0,9,0
Chelsea,2324,Cole Palmer,MF,31,0,31,0
Chelsea,2324,Ben Chilwell,DF,13,0,13,0
Chelsea,2324,Conor Gallagher,MF,35,0,35,0
Chelsea,2324,Reece James,DF,9,0,9,0
Chelsea,2324,Moisés Caicedo,MF,33,0,33,0
Chelsea,2324,Levi Colwill,DF,23,0,23,0
Chelsea,2324,Malo Gusto,DF,25,0,25,0
Chelsea,2324,Đorđe Petrović,GK,22,0,22,0
Chelsea,2324,Cesare Casadei,MF,9,0,9,0
Chelsea,2324,Wesley Fofana,DF,0,0,0,0
Chelsea,2324,Deivid Washington,FW,2,0,2,0
Chelsea,2324,Alfie Gilchrist,DF,11,0,11,0
Chelsea,2324,Diego Moreira,FW,0,0,0,0
Chelsea,2324,Roméo Lavia,MF,1,0,1,0
Chelsea,2324,Jimi Tauriainen,MF,1,0,1,0
Chelsea,2324,Leo Castledine,MF,0,0,0,0
Chelsea,2324,Josh Acheampong,DF,1,0,1,0
Chelsea,2324,Michael Golding,MF,0,0,0,0
Chelsea,2324,Malang Sarr,DF,0,0,0,0
Chelsea,2324,Armando Broja,FW,13,0,13,0
Chelsea,2324,Ian Maatsen,DF,12,0,12,0
Chelsea,2324,Mason Burstow,FW,2,0,2,0
Chelsea,2324,Bashir Humphreys,DF,0,0,0,0
Chelsea,2324,Alex Matos,MF,1,0,1,0
Chelsea,2425,Robert Sánchez,GK,32,0,32,0
Chelsea,2425,Marc Cucurella,DF,33,3,36,0
Chelsea,2425,Tosin Adarabioyo,DF,15,7,22,0
Chelsea,2425,Benoît Badiashile,DF,3,2,5,0
Chelsea,2425,Levi Colwill,DF,35,0,35,0
Chelsea,2425,Pedro Neto,FW,24,11,35,0
Chelsea,2425,Enzo Fernández,MF,32,4,36,0
Chelsea,2425,Liam Delap,FW,0,0,0,0
Chelsea,2425,Cole Palmer,MF,36,1,37,0
Chelsea,2425,Noni Madueke,FW,27,5,32,0
Chelsea,2425,Filip Jörgensen,GK,6,0,6,0
Chelsea,2425,Marcus Bettinelli,GK,0,0,0,0
Chelsea,2425,Dário Essugo,MF,0,0,0,0
Chelsea,2425,Nicolas Jackson,FW,28,2,30,0
Chelsea,2425,Andrey Santos,MF,0,0,0,0
Chelsea,2425,Christopher Nkunku,FW,9,18,27,0
Chelsea,2425,Mamadou Sarr,DF,0,0,0,0
Chelsea,2425,João Pedro,FW,0,0,0,0
Chelsea,2425,Kiernan Dewsbury-Hall,MF,2,11,13,0
Chelsea,2425,Trevoh Chalobah,DF,12,2,14,0
Chelsea,2425,Reece James,DF,12,7,19,0
Chelsea,2425,Moisés Caicedo,MF,38,0,38,0
Chelsea,2425,Malo Gusto,DF,19,13,32,0
Chelsea,2425,Wesley Fofana,DF,14,0,14,0
Chelsea,2425,Aarón Anselmino,DF,0,0,0,0
Chelsea,2425,Tyrique George,MF,1,7,8,0
Chelsea,2425,Kiano Dyer,MF,0,0,0,0
Chelsea,2425,Josh Acheampong,DF,2,2,4,0
Chelsea,2425,Omari Kellyman,MF,0,0,0,0
Chelsea,2425,Marc Guiu,FW,0,3,3,0
Chelsea,2425,Mike Penders,GK,0,0,0,0
Chelsea,2425,Gabriel Slonina,GK,0,0,0,0
Chelsea,2425,Roméo Lavia,MF,11,5,16,0
Chelsea,2425,Lucas Bergström,GK,0,0,0,0
Chelsea,2425,Samuel Rak-Sakyi,MF,0,0,0,0
Chelsea,2425,Ato Ampah,FW,0,0,0,0
Chelsea,2425,Harrison Murray-Campbell,DF,0,0,0,0
Chelsea,2425,Genesis Antwi,DF,0,0,0,0
Chelsea,2425,Shim Mheuka,FW,0,1,1,0
Chelsea,2425,Reggie Walsh,MF,0,0,0,0
Chelsea,2425,Mathis Amougou,MF,0,1,1,0
Chelsea,2425,Mykhailo Mudryk,FW,1,6,7,0
Chelsea,2425,Jadon Sancho,FW,19,12,31,0
Chelsea,2425,Cesare Casadei,MF,0,0,0,0
Chelsea,2425,Ben Chilwell,DF,0,0,0,0
Chelsea,2425,Carney Chukwuemeka,MF,0,0,0,0
Chelsea,2425,Axel Disasi,DF,4,2,6,0
Chelsea,2425,João Félix,MF,3,9,12,0
Chelsea,2425,Harvey Vale,MF,0,0,0,0
Chelsea,2425,Renato Veiga,DF,1,6,7,0
Chelsea,2526,Robert Sánchez,GK,35,0,35,0
Chelsea,2526,Marc Cucurella,DF,31,3,34,0
Chelsea,2526,Tosin Adarabioyo,DF,7,8,15,0
Chelsea,2526,Benoît Badiashile,DF,7,2,9,0
Chelsea,2526,Levi Colwill,DF,2,1,3,0
Chelsea,2526,Pedro Neto,FW,30,4,34,0
Chelsea,2526,Enzo Fernández,MF,35,1,36,0
Chelsea,2526,Liam Delap,FW,12,16,28,0
Chelsea,2526,Cole Palmer,MF,24,2,26,0
Chelsea,2526,Jamie Gittens,FW,5,11,16,0
Chelsea,2526,Filip Jörgensen,GK,3,2,5,0
Chelsea,2526,Dário Essugo,MF,0,3,3,0
Chelsea,2526,Andrey Santos,MF,13,14,27,0
Chelsea,2526,Mamadou Sarr,DF,1,2,3,0
Chelsea,2526,João Pedro,FW,31,4,35,0
Chelsea,2526,Jorrel Hato,DF,12,10,22,0
Chelsea,2526,Trevoh Chalobah,DF,31,3,34,0
Chelsea,2526,Reece James,DF,20,9,29,0
Chelsea,2526,Moisés Caicedo,MF,32,1,33,0
Chelsea,2526,Malo Gusto,DF,26,8,34,0
Chelsea,2526,Teddy Sharman-Lowe,GK,0,0,0,0
Chelsea,2526,Wesley Fofana,DF,20,5,25,0
Chelsea,2526,Josh Acheampong,DF,8,9,17,0
Chelsea,2526,Marc Guiu,FW,1,7,8,0
Chelsea,2526,Estêvão,FW,12,10,22,0
Chelsea,2526,Gabriel Slonina,GK,0,0,0,0
Chelsea,2526,Roméo Lavia,MF,4,8,12,0
Chelsea,2526,Reggie Walsh,MF,0,0,0,0
Chelsea,2526,Alejandro Garnacho,FW,14,10,24,0
Chelsea,2526,Jesse Derry,FW,1,0,1,0
Chelsea,2526,Shim Mheuka,FW,0,1,1,0
Chelsea,2526,Ryan Kavuma-McQueen,MF,0,0,0,0
Chelsea,2526,Mykhailo Mudryk,FW,0,0,0,0
Chelsea,2526,Facundo Buonanotte,MF,1,0,1,0
Chelsea,2526,Tyrique George,FW,0,4,4,0
Crystal Palace,2425,Dean Henderson,GK,38,0,38,0
Crystal Palace,2425,Joel Ward,DF,1,1,2,0
Crystal Palace,2425,Tyrick Mitchell,DF,37,0,37,0
Crystal Palace,2425,Maxence Lacroix,DF,35,0,35,1
Crystal Palace,2425,Marc Guéhi,DF,34,0,34,3
Crystal Palace,2425,Ismaïla Sarr,FW,30,8,38,8
Crystal Palace,2425,Jefferson Lerma,MF,26,7,33,0
Crystal Palace,2425,Eddie Nketiah,FW,9,20,29,3
Crystal Palace,2425,Eberechi Eze,MF,31,3,34,8
Crystal Palace,2425,Matheus França,MF,0,4,4,1
Crystal Palace,2425,Daniel Muñoz,DF,37,0,37,4
Crystal Palace,2425,Jean-Philippe Mateta,FW,32,5,37,14
Crystal Palace,2425,Nathaniel Clyne,DF,5,8,13,0
Crystal Palace,2425,Daichi Kamada,MF,15,19,34,0
Crystal Palace,2425,Will Hughes,MF,24,9,33,0
Crystal Palace,2425,Adam Wharton,MF,16,4,20,0
Crystal Palace,2425,Romain Esse,MF,1,6,7,1
Crystal Palace,2425,Ben Chilwell,DF,1,7,8,1
Crystal Palace,2425,Chris Richards,DF,22,2,24,1
Crystal Palace,2425,Cheick Doucouré,MF,4,9,13,0
Crystal Palace,2425,Matt Turner,GK,0,0,0,0
Crystal Palace,2425,Chadi Riad,DF,1,0,1,0
Crystal Palace,2425,Justin Devenny,MF,4,19,23,1
Crystal Palace,2425,Caleb Kporha,DF,0,2,2,0
Crystal Palace,2425,Asher Agbinone,FW,0,2,2,0
Crystal Palace,2425,Trevoh Chalobah,DF,12,0,12,3
Crystal Palace,2425,Joachim Andersen,DF,1,0,1,0
Crystal Palace,2425,Jordan Ayew,FW,0,1,1,0
Crystal Palace,2425,Jeffrey Schlupp,MF,0,12,12,0
Crystal Palace,2425,Odsonne Édouard,FW,1,1,2,0
Crystal Palace,2526,Dean Henderson,GK,37,0,37,0
Crystal Palace,2526,Daniel Muñoz,DF,29,0,29,4
Crystal Palace,2526,Tyrick Mitchell,DF,36,2,38,1
Crystal Palace,2526,Maxence Lacroix,DF,35,0,35,1
Crystal Palace,2526,Ismaïla Sarr,FW,24,4,28,9
Crystal Palace,2526,Jefferson Lerma,MF,18,13,31,0
Crystal Palace,2526,Eddie Nketiah,FW,2,10,12,2
Crystal Palace,2526,Yéremy Pino,MF,26,8,34,2
Crystal Palace,2526,Brennan Johnson,FW,13,5,18,0
Crystal Palace,2526,Christantus Uche,FW,0,14,14,0
Crystal Palace,2526,Jean-Philippe Mateta,FW,25,7,32,12
Crystal Palace,2526,Nathaniel Clyne,DF,7,3,10,0
Crystal Palace,2526,Daichi Kamada,MF,22,6,28,0
Crystal Palace,2526,Will Hughes,MF,19,12,31,0
Crystal Palace,2526,Adam Wharton,MF,29,5,34,1
Crystal Palace,2526,Jørgen Strand Larsen,FW,12,2,14,3
Crystal Palace,2526,Jaydee Canvot,DF,14,6,20,0
Crystal Palace,2526,Borna Sosa,DF,0,7,7,0
Crystal Palace,2526,Chris Richards,DF,31,2,33,1
Crystal Palace,2526,Evann Guessand,FW,3,5,8,1
Crystal Palace,2526,Chadi Riad,DF,6,3,9,0
Crystal Palace,2526,Kaden Rodney,MF,0,1,1,0
Crystal Palace,2526,Walter Benítez,GK,1,0,1,0
Crystal Palace,2526,Justin Devenny,MF,7,14,21,1
Crystal Palace,2526,Rio Cardines,DF,1,0,1,0
Crystal Palace,2526,George King,DF,0,0,0,0
Crystal Palace,2526,Dean Benamar,DF,0,0,0,0
Crystal Palace,2526,Benjamin Casey,FW,0,0,0,0
Crystal Palace,2526,Joél Drakes-Thomas,DF,0,2,2,0
Crystal Palace,2526,Romain Esse,FW,0,4,4,0
Crystal Palace,2526,Marc Guéhi,DF,20,0,20,2
Crystal Palace,2526,Eberechi Eze,FW,1,0,1,0
Crystal Palace,2526,Odsonne Édouard,FW,0,1,1,0
Everton,2425,Jordan Pickford,GK,38,0,38,0
Everton,2425,Nathan Patterson,DF,3,7,10,0
Everton,2425,Mason Holgate,DF,0,1,1,0
Everton,2425,Michael Keane,DF,11,3,14,3
Everton,2425,James Tarkowski,DF,33,0,33,1
Everton,2425,Dwight McNeil,FW,15,6,21,4
Everton,2425,Orel Mangala,MF,14,5,19,1
Everton,2425,Dominic Calvert-Lewin,FW,15,7,22,3
Everton,2425,Iliman Ndiaye,MF,29,4,33,9
Everton,2425,Jack Harrison,FW,24,10,34,1
Everton,2425,João Virgínia,GK,0,0,0,0
Everton,2425,Beto,FW,15,15,30,8
Everton,2425,Jake O'Brien,DF,17,3,20,2
Everton,2425,Abdoulaye Doucouré,MF,31,2,33,3
Everton,2425,Youssef Chermiti,FW,0,4,4,0
Everton,2425,Ashley Young,DF,19,13,32,1
Everton,2425,Vitaliy Mykolenko,DF,35,0,35,1
Everton,2425,Armando Broja,FW,4,6,10,0
Everton,2425,Séamus Coleman,DF,3,2,5,0
Everton,2425,Carlos Alcaraz,MF,7,8,15,2
Everton,2425,Idrissa Gueye,MF,35,2,37,0
Everton,2425,Jesper Lindstrøm,FW,15,10,25,0
Everton,2425,Jarrad Branthwaite,DF,28,2,30,0
Everton,2425,James Garner,MF,17,4,21,0
Everton,2425,Tim Iroegbunam,MF,5,13,18,0
Everton,2425,Roman Dixon,DF,1,0,1,0
Everton,2425,Harrison Armstrong,MF,0,3,3,0
Everton,2526,Jordan Pickford,GK,38,0,38,0
Everton,2526,Nathan Patterson,DF,3,4,7,0
Everton,2526,Michael Keane,DF,29,4,33,3
Everton,2526,James Tarkowski,DF,37,0,37,2
Everton,2526,Dwight McNeil,FW,14,8,22,0
Everton,2526,Beto,FW,17,20,37,9
Everton,2526,Iliman Ndiaye,FW,32,0,32,6
Everton,2526,Thierno Barry,FW,21,17,38,8
Everton,2526,Mark Travers,GK,0,0,0,0
Everton,2526,Jake O'Brien,DF,35,2,37,1
Everton,2526,Vitaliy Mykolenko,DF,33,0,33,0
Everton,2526,Jack Grealish,FW,18,2,20,2
Everton,2526,Tyrique George,FW,1,10,11,0
Everton,2526,Tyler Dibling,FW,4,10,14,0
Everton,2526,Kiernan Dewsbury-Hall,MF,30,1,31,8
Everton,2526,Séamus Coleman,DF,1,4,5,0
Everton,2526,Charly Alcaraz,MF,6,14,20,0
Everton,2526,Idrissa Gueye,MF,25,0,25,2
Everton,2526,Jarrad Branthwaite,DF,7,3,10,1
Everton,2526,Merlin Röhl,MF,6,10,16,1
Everton,2526,James Garner,MF,38,0,38,2
Everton,2526,Adam Aznou,DF,0,0,0,0
Everton,2526,Tim Iroegbunam,MF,17,12,29,0
Everton,2526,Harrison Armstrong,MF,6,7,13,0
Everton,2526,Reece Welch,DF,0,0,0,0
Everton,2526,Elijah Campbell,DF,0,0,0,0
Fulham,2425,Bernd Leno,GK,38,0,38,0
Fulham,2425,Kenny Tete,DF,21,1,22,0
Fulham,2425,Calvin Bassey,DF,34,1,35,1
Fulham,2425,Joachim Andersen,DF,29,0,29,0
Fulham,2425,Harrison Reed,MF,0,12,12,0
Fulham,2425,Raúl Jiménez,FW,30,8,38,12
Fulham,2425,Harry Wilson,FW,12,13,25,6
Fulham,2425,Rodrigo Muniz,FW,8,23,31,8
Fulham,2425,Tom Cairney,MF,3,22,25,2
Fulham,2425,Adama Traoré,FW,18,18,36,2
Fulham,2425,Carlos Vinícius,FW,0,3,3,0
Fulham,2425,Jorge Cuenca,DF,4,4,8,0
Fulham,2425,Sander Berge,MF,26,5,31,0
Fulham,2425,Alex Iwobi,MF,35,3,38,9
Fulham,2425,Andreas Pereira,MF,25,8,33,2
Fulham,2425,Reiss Nelson,FW,5,6,11,1
Fulham,2425,Saša Lukić,MF,28,2,30,0
Fulham,2425,Timothy Castagne,DF,17,7,24,0
Fulham,2425,Willian,FW,2,8,10,0
Fulham,2425,Steven Benda,GK,0,0,0,0
Fulham,2425,Joshua King,MF,1,7,8,0
Fulham,2425,Ryan Sessegnon,DF,7,9,16,4
Fulham,2425,Issa Diop,DF,15,6,21,0
Fulham,2425,Emile Smith Rowe,MF,25,9,34,6
Fulham,2425,Antonee Robinson,DF,35,1,36,0
Fulham,2425,Martial Godo,FW,0,2,2,0
Fulham,2425,Jay Stansfield,FW,0,1,1,0
Fulham,2526,Bernd Leno,GK,38,0,38,0
Fulham,2526,Kenny Tete,DF,21,1,22,1
Fulham,2526,Calvin Bassey,DF,28,2,30,1
Fulham,2526,Joachim Andersen,DF,33,0,33,0
Fulham,2526,Harrison Reed,MF,1,6,7,1
Fulham,2526,Raúl Jiménez,FW,27,9,36,9
Fulham,2526,Harry Wilson,FW,32,4,36,10
Fulham,2526,Rodrigo Muniz,FW,10,11,21,1
Fulham,2526,Tom Cairney,MF,6,18,24,2
Fulham,2526,Oscar Bobb,FW,6,8,14,0
Fulham,2526,Jorge Cuenca,DF,11,4,15,0
Fulham,2526,Sander Berge,MF,34,1,35,0
Fulham,2526,Alex Iwobi,FW,29,0,29,4
Fulham,2526,Jonah Kusi-Asare,FW,0,7,7,0
Fulham,2526,Samuel Chukwueze,FW,10,13,23,3
Fulham,2526,Saša Lukić,MF,20,6,26,1
Fulham,2526,Timothy Castagne,DF,20,10,30,0
Fulham,2526,Kevin,FW,9,17,26,1
Fulham,2526,Benjamin Lecomte,GK,0,0,0,0
Fulham,2526,Josh King,MF,15,17,32,1
Fulham,2526,Ryan Sessegnon,DF,20,7,27,3
Fulham,2526,Issa Diop,DF,8,5,13,1
Fulham,2526,Emile Smith Rowe,MF,22,15,37,3
Fulham,2526,Antonee Robinson,DF,17,5,22,1
Fulham,2526,Adama Traoré,FW,1,14,15,0
Ipswich,2425,Arijanet Muric,GK,18,0,18,0
Ipswich,2425,Leif Davis,DF,32,1,33,1
Ipswich,2425,Sam Morsy,MF,31,2,33,1
Ipswich,2425,Luke Woolfenden,DF,12,3,15,0
Ipswich,2425,Wes Burns,MF,12,6,18,0
Ipswich,2425,Kalvin Phillips,MF,14,5,19,0
Ipswich,2425,Julio Enciso,FW,12,1,13,2
Ipswich,2425,Conor Chaplin,FW,10,12,22,1
Ipswich,2425,Jens Cajuste,MF,25,5,30,1
Ipswich,2425,Cieran Slicker,GK,0,0,0,0
Ipswich,2425,Jack Taylor,MF,4,28,32,1
Ipswich,2425,Cameron Burgess,DF,16,2,18,0
Ipswich,2425,Ben Johnson,DF,14,9,23,1
Ipswich,2425,Liam Delap,FW,32,5,37,12
Ipswich,2425,Omari Hutchinson,FW,30,1,31,3
Ipswich,2425,Chiedozie Ogbene,FW,3,2,5,0
Ipswich,2425,Conor Townsend,DF,3,3,6,0
Ipswich,2425,Sammie Szmodics,FW,13,7,20,4
Ipswich,2425,Jacob Greaves,DF,24,0,24,1
Ipswich,2425,Massimo Luongo,MF,2,9,11,0
Ipswich,2425,Dara O'Shea,DF,35,0,35,0
Ipswich,2425,George Hirst,FW,6,20,26,3
Ipswich,2425,Christian Walton,GK,7,0,7,0
Ipswich,2425,Jaden Philogene,FW,5,5,10,2
Ipswich,2425,Alex Palmer,GK,13,0,13,0
Ipswich,2425,Nathan Broadhead,FW,7,11,18,2
Ipswich,2425,Axel Tuanzebe,DF,20,2,22,0
Ipswich,2425,Ben Godfrey,DF,2,1,3,0
Ipswich,2425,Jack Clarke,FW,13,19,32,0
Ipswich,2425,Harry Clarke,DF,4,3,7,0
Ipswich,2425,George Edmundson,DF,0,1,1,0
Ipswich,2425,Marcus Harness,FW,0,2,2,0
Ipswich,2425,Ali Al-Hamadi,FW,0,11,11,0
Leicester City,2223,Danny Ward,GK,26,0,26,0
Leicester City,2223,James Justin,DF,14,0,14,0
Leicester City,2223,Wout Faes,DF,31,0,31,1
Leicester City,2223,Çağlar Söyüncü,DF,6,1,7,1
Leicester City,2223,Ryan Bertrand,DF,0,0,0,0
Leicester City,2223,Jonny Evans,DF,12,1,13,0
Leicester City,2223,Harvey Barnes,MF,32,2,34,13
Leicester City,2223,Youri Tielemans,MF,27,4,31,3
Leicester City,2223,Jamie Vardy,FW,18,17,35,3
Leicester City,2223,James Maddison,MF,27,2,29,10
Leicester City,2223,Alex Smithies,GK,0,0,0,0
Leicester City,2223,Kelechi Iheanacho,FW,12,16,28,5
Leicester City,2223,Harry Souttar,DF,11,1,12,0
Leicester City,2223,Victor Kristiansen,DF,11,1,12,0
Leicester City,2223,Daniel Amartey,DF,18,2,20,0
Leicester City,2223,Patson Daka,FW,13,17,30,4
Leicester City,2223,Ricardo Pereira,DF,5,5,10,1
Leicester City,2223,Kiernan Dewsbury-Hall,MF,28,3,31,2
Leicester City,2223,Jannik Vestergaard,DF,0,0,0,0
Leicester City,2223,Nampalys Mendy,MF,7,12,19,1
Leicester City,2223,Wilfred Ndidi,MF,19,8,27,0
Leicester City,2223,Dennis Praet,MF,6,16,22,1
Leicester City,2223,Timothy Castagne,DF,36,1,37,2
Leicester City,2223,Daniel Iversen,GK,11,0,11,0
Leicester City,2223,Luke Thomas,DF,11,6,17,0
Leicester City,2223,Lewis Brunt,DF,0,1,1,0
Leicester City,2223,Tetê,MF,9,4,13,1
Leicester City,2223,Wanya Marçal-Madivadua,MF,0,0,0,0
